;;;"Палитра-Трейд";;;"В начало";;
;;"Прайс-лист на 25.03.09";;;"www.palitra-trade.com";;;
;;"г.Перми т/ф (342)294-60-82, 294-64-14, 296-23-53, 296-26-15";;;;;;
;;"Код ";"Наименование товара";"Артикул";"Цена";;;"Заказ"
"*";0;33156;"Плитка обл. ВЕРОНА 200х300 зеленая темн. низ (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;30698;"Плитка обл. ВЕРОНА 200х300 синяя св. верх (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;30700;"Плитка обл. ВЕРОНА 200х300 синяя темн. низ (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;29938;"Плитка обл. ДЖОВАНИ Sakmi 200х300 св. беж. верх  (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;29939;"Плитка обл. ДЖОВАНИ Sakmi 200х300 тем. беж. низ  (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;47609;"Плитка обл. КАВКАЗ 200х300 серая (1кор.- 1,26кв.м ) 1/21";"                         ";12.9;;;
"*";0;29352;"Плитка обл. КАМЕЛИЯ серо-кофейная 200х300 (1кор.- 1,26кв.м ) 1/21";"                         ";13.9;;;
"*";0;42395;"Плитка обл. ЛЕОПАРД 200х300 бел. ВЕРХ  (1кор.- 1,26кв.м ) 1/21";"                         ";16.7;;;
"*";0;37836;"Плитка обл. ЛЕОПАРД 200х300 черный НИЗ (1кор.- 1,26кв.м ) 1/21";"                         ";16.7;;;
"*";0;26653;"Плитка обл. СИРИУС 200х300 белая с люстром (1кор.- 1,26кв.м) 1/21";"                         ";13.9;;;
"*";0;29948;"Плитка обл. СТЕЛЛА 200х300 голубая Люкс (1кор.- 1,26кв.м ) 1/21";"                         ";12.9;;;
"*";0;29362;"Плитка обл. ТОЛЕДО Sakmi 200х300 голубая верх (1кор.- 1,26кв.м ) 1/21";"                         ";13.9;;;
"*";0;29363;"Плитка обл. ТОЛЕДО Sakmi 200х300 голубая темная низ (1кор.- 1,26кв.м ) 1/21";"                         ";13.9;;;
"*";0;26654;"Плитка обл. ТОЛЕДО Sakmi 200х300 Кофе светл. верх (1кор. -1,26кв.м) 1/21";"                         ";13.9;;;
"*";0;26655;"Плитка обл. ТОЛЕДО Sakmi 200х300 кофе темн. низ (1кор. - 1,26кв.м) 1/21";"                         ";13.9;;;
"*";0;29367;"Плитка обл. УРАЛ 200х300 кофейная (1кор.- 1,26кв.м ) 1/21";"                         ";13.2;;;
"***";" ";" ";"Пиастрелла, Харьков";;;;;
"*";0;58744;"Бордюр АЛЕКСАНДРИЯ 200х60 бирюзовый (Харьков) 1/40";"В16303                   ";35;;;
"*";0;58743;"Бордюр АЛЕКСАНДРИЯ 200х60 розовый (Харьков) 1/40";"В15303                   ";35;;;
"*";0;59910;"Бордюр ГАРМОНИЯ 3БШ 200х62 ""Керамин"" 1/20";"                         ";38.8;;;
"*";0;58756;"Бордюр ДЕНИА-2 100х300 желтый ""Пиастрелла"" 1/36";"52-002                   ";55;;;
"*";0;40801;"Бордюр ДЕНИА-5 100х300 розовый ""Пиастрелла"" 1/36";"52-005                   ";55;;;
"*";0;40826;"Бордюр ДЕНИА-7 100х300 зеленый ""Пиастрелла"" 1/36";"52-007                   ";55;;;
"*";0;58734;"Бордюр ИМПЕРИО 250х60 корич. (Харьков) 1/36";"Г17301                   ";55;;;
"*";0;58735;"Бордюр КАМЕННЫЙ ЦВЕТОК 250х60 бежевый (Харьков) 1/36";"Г71311                   ";50;;;
"*";0;59902;"Бордюр МАРГО-4 200х57 голубой ""Пиастрелла"" 1/40";"8-004М                   ";33.8;;;
"*";0;58754;"Бордюр МАРГО-7 200х57 зелен.  ""Пиастрелла"" 1/40";"8-003М                   ";33.8;;;
"*";0;58737;"Бордюр МАРИОН 200х60 бежевый Акация (Харьков)";"Б71333                   ";35;;;
"*";0;58739;"Бордюр МАРИОН 200х60 голубой (Харьков) 1/40";"Б73321                   ";35;;;
"*";0;58741;"Бордюр МАРИОН 200х60 розовый Акация (Харьков) 1/40";"Б75331                   ";35;;;
"*";0;58747;"Бордюр ОМЕЛИЯ-6 200х57 беж.   ""Пиастрелла""";"19-001                   ";33.8;;;
"*";0;59909;"Вставка ГАРМОНИЯ 3Д 200х300 ""Керамин"" 1/14";"                         ";45;;;
"*";0;58757;"Вставка ДЕНИА-2 200х300 желтый ""Пиастрелла"" 1/28";"52-002/В                 ";107.5;;;
"*";0;40800;"Вставка ДЕНИА-5 200х300 розовый ""Пиастрелла"" 1/28";"52-005/В                 ";107.5;;;
"*";0;40827;"Вставка ДЕНИА-7 200х300 зеленый ""Пиастрелла"" 1/28";"52-007/В                 ";107.5;;;
"*";0;58736;"Вставка КАМЕННЫЙ ЦВЕТОК 250х400 бежевый (Харьков) 1/6";"Г71301                   ";107.5;;;
"*";0;59903;"Вставка МАРГО-4 200х300 голубая  ""Пиастрелла"" 1/28";"8-004/В М                ";67.5;;;
"*";0;58755;"Вставка МАРГО-7 200х300 зелен.  ""Пиастрелла"" 1/28";"8-003/В М                ";67.5;;;
"*";0;58738;"Вставка МАРИОН 200х300 бежевый Акация (Харьков) 1/12";"Б71341                   ";107.5;;;
"*";0;58740;"Вставка МАРИОН 200х300 голубой (Харьков) 1/12";"Б73301                   ";107.5;;;
"*";0;58742;"Вставка МАРИОН 200х300 розовый Акация (Харьков) 1/12";"Б75341                   ";107.5;;;
"*";0;58748;"Вставка ОМЕЛИЯ-6 200х300 беж.  ""Пиастрелла"" 1/28";"19-001/В                 ";67.5;;;
"*";0;59905;"Вставка ТУРИН-6 200х300  ""Пиастрелла"" 1/28";"53-002/В                 ";107.5;;;
"*";0;59906;"Вставка ТУРИН-6 200х300  ""Пиастрелла"" 1/28";"53-001/В                 ";107.5;;;
"*";0;58770;"Плитка для пола АЛЕКСАНДРИЯ 300х300 бирюзовая (1 кор. - 1,35кв.м) 1/15 Харьков";"                         ";25.4;;;
